#Code;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;;
OPTIONS_MORE;More;More;More;;More;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.39;It occurs to you that the land of Stromgarde has no king. Maybe it should be yours.;It occurs to you that the land of Stromgarde has no king. Maybe it should be yours.;It occurs to you that the land of Stromgarde has no king. Maybe it should be yours.;;It occurs to you that the land of Stromgarde has no king. Maybe it should be yours.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.40;You have claimed the kingdom as your own and seceded from the empire, for good or ill.;You have claimed the kingdom as your own and seceded from the empire, for good or ill.;You have claimed the kingdom as your own and seceded from the empire, for good or ill.;;You have claimed the kingdom as your own and seceded from the empire, for good or ill.;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTOPTTROLLWAR.40;Long live the king!;Long live the king!;Long live the king!;;Long live the king!;;;;;;;;;x;;;;;;;;;;;;;;;;;x
EVTDESCTROLLWAR.42;Arathor is merely a shadow of its former self. Most territories outside the Arathi Highlands have been lost, and now few even recognize it as an empire. In fact, some have started to call this realm 'Stromgarde'.;"Arathor is merely a shadow of its former self. Most territories outside the Arathi Highlands have been lost, and now few even recognize it as an empire. In fact, some have started to call this realm ""Stromgarde"".";"Arathor is merely a shadow of its former self. Most territories outside the Arathi Highlands have been lost, and now few even recognize it as an empire. In fact, some have started to call this realm ""Stromgarde"".";;"Arathor is merely a shadow of its former self. Most territories outside the Arathi Highlands have been lost, and now few even recognize it as an empire. In fact, some have started to call this realm ""Stromgarde"".";;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.42;This is not over.;This is not over.;This is not over.;;This is not over.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.43;All major territories have seceded as their own independent kingdoms. The Amani Empire is merely a shadow of what it once was. You are no longer their superior, but their equal.;All major territories have seceded as their own independent kingdoms. The Amani Empire is merely a shadow of what it once was. You are no longer their superior, but their equal.;All major territories have seceded as their own independent kingdoms. The Amani Empire is merely a shadow of what it once was. You are no longer their superior, but their equal.;;All major territories have seceded as their own independent kingdoms. The Amani Empire is merely a shadow of what it once was. You are no longer their superior, but their equal.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.44;You have claimed the kingdom as your own, leaving the memory of old Arathor behind.;You have claimed the kingdom as your own, leaving the memory of old Arathor behind.;You have claimed the kingdom as your own, leaving the memory of old Arathor behind.;;You have claimed the kingdom as your own, leaving the memory of old Arathor behind.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.45;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.45;Unexpected. But not unwelcome.;Unexpected. But not unwelcome.;Unexpected. But not unwelcome.;;Unexpected. But not unwelcome.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.46;A strange new development has arisen in this war. Mysterious grey dragons, unlike any ever seen, appear to have allied themselves with the Amani and could turn the war and give the trolls their victory.;A strange new development has arisen in this war. Mysterious grey dragons, unlike any ever seen, appear to have allied themselves with the Amani and could turn the war and give the trolls their victory.;A strange new development has arisen in this war. Mysterious grey dragons, unlike any ever seen, appear to have allied themselves with the Amani and could turn the war and give the trolls their victory.;;A strange new development has arisen in this war. Mysterious grey dragons, unlike any ever seen, appear to have allied themselves with the Amani and could turn the war and give the trolls their victory.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.46;What do they gain from this?;What do they gain from this?;What do they gain from this?;;What do they gain from this?;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.47;Seemingly from out of nowhere, grey dragons have been seen aiding Amani forces in various battles. Though they refuse to communicate, many have taken this as a sign from the Loa that defeat is unacceptable.;Seemingly from out of nowhere, grey dragons have been seen aiding Amani forces in various battles. Though they refuse to communicate, many have taken this as a sign from the Loa that defeat is unacceptable.;Seemingly from out of nowhere, grey dragons have been seen aiding Amani forces in various battles. Though they refuse to communicate, many have taken this as a sign from the Loa that defeat is unacceptable.;;Seemingly from out of nowhere, grey dragons have been seen aiding Amani forces in various battles. Though they refuse to communicate, many have taken this as a sign from the Loa that defeat is unacceptable.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEHOLYLIGHT.1;A Strange Vision;A Strange Vision;A Strange Vision;;A Strange Vision;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCHOLYLIGHT.1;While asleep, you are visited by the most strange images. Angelic beings composed of geometric forms that thrum with living light appear to you. Though you are not aware how, you know this Light to be pure and cleansing. Holy. When you awake, you feel that it was more than a dream. It was a vision. Humans need not appease the fickle spirits of nature, you realise, not when they could be standing in the Light.;While asleep, you are visited by the most strange images. Angelic beings composed of geometric forms that thrum with living light appear to you. Though you are not aware how, you know this Light to be pure and cleansing. Holy. When you awake, you feel that it was more than a dream. It was a vision. Humans need not appease the fickle spirits of nature, you realise, not when they could be standing in the Light.;While asleep, you are visited by the most strange images. Angelic beings composed of geometric forms that thrum with living light appear to you. Though you are not aware how, you know this Light to be pure and cleansing. Holy. When you awake, you feel that it was more than a dream. It was a vision. Humans need not appease the fickle spirits of nature, you realise, not when they could be standing in the Light.;;While asleep, you are visited by the most strange images. Angelic beings composed of geometric forms that thrum with living light appear to you. Though you are not aware how, you know this Light to be pure and cleansing. Holy. When you awake, you feel that it was more than a dream. It was a vision. Humans need not appease the fickle spirits of nature, you realise, not when they could be standing in the Light.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTHOLYLIGHT.1.a;We must embrace this Holy Light!;We must embrace this Holy Light!;We must embrace this Holy Light!;;We must embrace this Holy Light!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTHOLYLIGHT.1.b;A dream, nothing more.;A dream, nothing more.;A dream, nothing more.;;A dream, nothing more.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCHOLYLIGHT.2;You've been recently told by [From.GetBestName] of a force known only as the Holy Light. It seems to be far more powerful, benevolent and constant than the nature spirits you are used to beseeching. Perhaps you should embrace it like [From.GetSheHe] did.;You've been recently told by [From.GetBestName] of a force known only as the Holy Light. It seems to be far more powerful, benevolent and constant than the nature spirits you are used to beseeching. Perhaps you should embrace it like [From.GetSheHe] did.;You've been recently told by [From.GetBestName] of a force known only as the Holy Light. It seems to be far more powerful, benevolent and constant than the nature spirits you are used to beseeching. Perhaps you should embrace it like [From.GetSheHe] did.;;You've been recently told by [From.GetBestName] of a force known only as the Holy Light. It seems to be far more powerful, benevolent and constant than the nature spirits you are used to beseeching. Perhaps you should embrace it like [From.GetSheHe] did.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTHOLYLIGHT.2.a;Yes, praise this... Light.;Yes, praise this... Light.;Yes, praise this... Light.;;Yes, praise this... Light.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTHOLYLIGHT.2.b;Such nonsense.;Such nonsense.;Such nonsense.;;Such nonsense.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCHOLYLIGHT.3;You've been hearing of a new faith in other human realms, where instead of animal spirits, priests beseech a radiant power known as the Holy Light. Moreover, it certainly does seem to answer prayers. Mayhaps you should convert too?;You've been hearing of a new faith in other human realms, where instead of animal spirits, priests beseech a radiant power known as the Holy Light. Moreover, it certainly does seem to answer prayers. Mayhaps you should convert too?;You've been hearing of a new faith in other human realms, where instead of animal spirits, priests beseech a radiant power known as the Holy Light. Moreover, it certainly does seem to answer prayers. Mayhaps you should convert too?;;You've been hearing of a new faith in other human realms, where instead of animal spirits, priests beseech a radiant power known as the Holy Light. Moreover, it certainly does seem to answer prayers. Mayhaps you should convert too?;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCHOLYLIGHT.4;The population in [Root.GetName] has mostly converted to the faith of the Holy Light.;The population in [Root.GetName] has mostly converted to the faith of the Holy Light.;The population in [Root.GetName] has mostly converted to the faith of the Holy Light.;;The population in [Root.GetName] has mostly converted to the faith of the Holy Light.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTHOLYLIGHT.4.a;Praise the Light!;Praise the Light!;Praise the Light!;;Praise the Light!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTHOLYLIGHT.4.b;Interesting.;Interesting.;Interesting.;;Interesting.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCHOLYLIGHT.5;You've been hearing of a new faith in the human realms, where instead of animal spirits, priests beseech a radiant power known as the Holy Light. Moreover, it certainly does seem to answer prayers. Mayhaps you should convert too?;You've been hearing of a new faith in the human realms, where instead of animal spirits, priests beseech a radiant power known as the Holy Light. Moreover, it certainly does seem to answer prayers. Mayhaps you should convert too?;You've been hearing of a new faith in the human realms, where instead of animal spirits, priests beseech a radiant power known as the Holy Light. Moreover, it certainly does seem to answer prayers. Mayhaps you should convert too?;;You've been hearing of a new faith in the human realms, where instead of animal spirits, priests beseech a radiant power known as the Holy Light. Moreover, it certainly does seem to answer prayers. Mayhaps you should convert too?;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCHOLYLIGHT.6;You've been recently told by [From.GetBestName] of a force known only as the Holy Light. It seems to be far more powerful, benevolent and constant than the nature spirits you are used to beseeching. Perhaps you should embrace it like [From.GetSheHe] did.;You've been recently told by [From.GetBestName] of a force known only as the Holy Light. It seems to be far more powerful, benevolent and constant than the nature spirits you are used to beseeching. Perhaps you should embrace it like [From.GetSheHe] did.;You've been recently told by [From.GetBestName] of a force known only as the Holy Light. It seems to be far more powerful, benevolent and constant than the nature spirits you are used to beseeching. Perhaps you should embrace it like [From.GetSheHe] did.;;You've been recently told by [From.GetBestName] of a force known only as the Holy Light. It seems to be far more powerful, benevolent and constant than the nature spirits you are used to beseeching. Perhaps you should embrace it like [From.GetSheHe] did.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.2;Strange brutish creatures have begun appearing all over the region! Some of your people have begun to call them troggs, but that only gives a name to this new menace.;Strange brutish creatures have begun appearing all over the region! Some of your people have begun to call them troggs, but that only gives a name to this new menace.;Strange brutish creatures have begun appearing all over the region! Some of your people have begun to call them troggs, but that only gives a name to this new menace.;;Strange brutish creatures have begun appearing all over the region! Some of your people have begun to call them troggs, but that only gives a name to this new menace.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTDWRF.2;Foul beasts! Rally!;Foul beasts! Rally!;Foul beasts! Rally!;;Foul beasts! Rally!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEDWRF.3;The Bearded Host;The Bearded Host;The Bearded Host;;The Bearded Host;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.3;Reports reach you of a concerning development in the Badlands. The old ruins of Uldaman have been unsealed, seemingly from within, and from its depths march out three great armies of stout, if short, bearded humanoids. Worse, they march your way!;Reports reach you of a concerning development in the Badlands. The old ruins of Uldaman have been unsealed, seemingly from within, and from its depths march out three great armies of stout, if short, bearded humanoids. Worse, they march your way!;Reports reach you of a concerning development in the Badlands. The old ruins of Uldaman have been unsealed, seemingly from within, and from its depths march out three great armies of stout, if short, bearded humanoids. Worse, they march your way!;;Reports reach you of a concerning development in the Badlands. The old ruins of Uldaman have been unsealed, seemingly from within, and from its depths march out three great armies of stout, if short, bearded humanoids. Worse, they march your way!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTDWRF.3;We will defend ourselves from these... dwarves.;We will defend ourselves from these... dwarves.;We will defend ourselves from these... dwarves.;;We will defend ourselves from these... dwarves.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEDWRF.4;Uldaman Opens;Uldaman Opens;Uldaman Opens;;Uldaman Opens;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.4;Rumour has it that the ruin of Uldaman, deep in the Badlands, has been unsealed... from within! Out from it march several armies of small, stout and bearded humanoids that many have taken to calling dwarves. Their destination, it seems, appears to be the mountains of Dun Morogh.;Rumour has it that the ruin of Uldaman, deep in the Badlands, has been unsealed... from within! Out from it march several armies of small, stout and bearded humanoids that many have taken to calling dwarves. Their destination, it seems, appears to be the mountains of Dun Morogh.;Rumour has it that the ruin of Uldaman, deep in the Badlands, has been unsealed... from within! Out from it march several armies of small, stout and bearded humanoids that many have taken to calling dwarves. Their destination, it seems, appears to be the mountains of Dun Morogh.;;Rumour has it that the ruin of Uldaman, deep in the Badlands, has been unsealed... from within! Out from it march several armies of small, stout and bearded humanoids that many have taken to calling dwarves. Their destination, it seems, appears to be the mountains of Dun Morogh.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTDWRF.4;I never heard of these stunted warriors before.;I never heard of these stunted warriors before.;I never heard of these stunted warriors before.;;I never heard of these stunted warriors before.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.8;Finally, the last of the bearded invaders falls. What few survivors there are have scatter and gone to hiding. Maybe they'll regroup and make another attempt at your rule later, but for now the triumph is yours.;Finally, the last of the bearded invaders falls. What few survivors there are have scatter and gone to hiding. Maybe they'll regroup and make another attempt at your rule later, but for now the triumph is yours.;Finally, the last of the bearded invaders falls. What few survivors there are have scatter and gone to hiding. Maybe they'll regroup and make another attempt at your rule later, but for now the triumph is yours.;;Finally, the last of the bearded invaders falls. What few survivors there are have scatter and gone to hiding. Maybe they'll regroup and make another attempt at your rule later, but for now the triumph is yours.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTDWARF.8;Their invasion was cut short.;Their invasion was cut short.;Their invasion was cut short.;;Their invasion was cut short.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEDWRF.9;Gnomeregan;Gnomeregan;Gnomeregan;;Gnomeregan;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.9;While exploring caves around the western mountains of Dun Morogh, a startling discovery was made! Tiny humanoids, calling themselves gnomes, have been found dwelling in them. Though not physically imposing and not as good as a dwarf when it comes to stonework, they seem to have an affinity for technology unlike anything seen before. The explorers also report they felt some sort of kinship with these gnomes, who were driven into hiding by the Ice Trolls that once dominated this region. Perhaps, they propose, we should give them some land to call their own?;While exploring caves around the western mountains of Dun Morogh, a startling discovery was made! Tiny humanoids, calling themselves gnomes, have been found dwelling in them. Though not physically imposing and not as good as a dwarf when it comes to stonework, they seem to have an affinity for technology unlike anything seen before. The explorers also report they felt some sort of kinship with these gnomes, who were driven into hiding by the Ice Trolls that once dominated this region. Perhaps, they propose, we should give them some land to call their own?;While exploring caves around the western mountains of Dun Morogh, a startling discovery was made! Tiny humanoids, calling themselves gnomes, have been found dwelling in them. Though not physically imposing and not as good as a dwarf when it comes to stonework, they seem to have an affinity for technology unlike anything seen before. The explorers also report they felt some sort of kinship with these gnomes, who were driven into hiding by the Ice Trolls that once dominated this region. Perhaps, they propose, we should give them some land to call their own?;;While exploring caves around the western mountains of Dun Morogh, a startling discovery was made! Tiny humanoids, calling themselves gnomes, have been found dwelling in them. Though not physically imposing and not as good as a dwarf when it comes to stonework, they seem to have an affinity for technology unlike anything seen before. The explorers also report they felt some sort of kinship with these gnomes, who were driven into hiding by the Ice Trolls that once dominated this region. Perhaps, they propose, we should give them some land to call their own?;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTDWRF.9a;Yes. Let them have the region.;Yes. Let them have the region.;Yes. Let them have the region.;;Yes. Let them have the region.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTDWRF.9b;Absolutely not!;Absolutely not!;Absolutely not!;;Absolutely not!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.13;Strange grey dragons have come to your aid against the bearded warriors who assault your lands. They do not tell you why, or really anything at all for that matter, but you are not exactly in a mood to ask either, lest they remove their support.;Strange grey dragons have come to your aid against the bearded warriors who assault your lands. They do not tell you why, or really anything at all for that matter, but you are not exactly in a mood to ask either, lest they remove their support.;Strange grey dragons have come to your aid against the bearded warriors who assault your lands. They do not tell you why, or really anything at all for that matter, but you are not exactly in a mood to ask either, lest they remove their support.;;Strange grey dragons have come to your aid against the bearded warriors who assault your lands. They do not tell you why, or really anything at all for that matter, but you are not exactly in a mood to ask either, lest they remove their support.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.14;Seemingly from out of nowhere, grey dragons have been seen aiding Amani forces in various battles. Though they refuse to communicate, many have taken this as a sign from the Loa that defeat is unacceptable.;Seemingly from out of nowhere, grey dragons have been seen aiding our forces in various battles against the bearded invaders. Though they refuse to communicate, few are willing to question this unlikely ally.;Seemingly from out of nowhere, grey dragons have been seen aiding our forces in various battles against the bearded invaders. Though they refuse to communicate, few are willing to question this unlikely ally.;;Seemingly from out of nowhere, grey dragons have been seen aiding our forces in various battles against the bearded invaders. Though they refuse to communicate, few are willing to question this unlikely ally.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.1;Your devotion to Hakkar, the Soulflayer, has been noted through the realm. Some, such as the priests of the Atal'ai rejoice in your piety, but more traditional trolls do not. In fact, some of them have even started refusing to call you [Root.Culture.GetName], instead calling you Hakkari.;Your devotion to Hakkar, the Soulflayer, has been noted through the realm. Some, such as the priests of the Atal'ai rejoice in your piety, but more traditional trolls do not. In fact, some of them have even started refusing to call you [Root.Culture.GetName], instead calling you Hakkari.;Your devotion to Hakkar, the Soulflayer, has been noted through the realm. Some, such as the priests of the Atal'ai rejoice in your piety, but more traditional trolls do not. In fact, some of them have even started refusing to call you [Root.Culture.GetName], instead calling you Hakkari.;;Your devotion to Hakkar, the Soulflayer, has been noted through the realm. Some, such as the priests of the Atal'ai rejoice in your piety, but more traditional trolls do not. In fact, some of them have even started refusing to call you [Root.Culture.GetName], instead calling you Hakkari.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.1;Blood for the Blood Loa!;Blood for the Blood Loa!;Blood for the Blood Loa!;;Blood for the Blood Loa!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.2;It appears that the gurubashi emperor has finally seen the truth the Atal'ai have known for a long time: Hakkar is the strongest of the Loa, and any who spill blood for him can also partake in this power. For years you have sacrified to other, weaker Loa for appearances, but now you can finally show your true colours!;It appears that the gurubashi emperor has finally seen the truth the Atal'ai have known for a long time: Hakkar is the strongest of the Loa, and any who spill blood for him can also partake in this power. For years you have sacrified to other, weaker Loa for appearances, but now you can finally show your true colours!;It appears that the gurubashi emperor has finally seen the truth the Atal'ai have known for a long time: Hakkar is the strongest of the Loa, and any who spill blood for him can also partake in this power. For years you have sacrified to other, weaker Loa for appearances, but now you can finally show your true colours!;;It appears that the gurubashi emperor has finally seen the truth the Atal'ai have known for a long time: Hakkar is the strongest of the Loa, and any who spill blood for him can also partake in this power. For years you have sacrified to other, weaker Loa for appearances, but now you can finally show your true colours!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.3;Following the emperor's example, you have started calling yourself hakkari, rather than [Root.Culture.GetName], as all true followers of the Soulflayer are doing.;Following the emperor's example, you have started calling yourself hakkari, rather than [Root.Culture.GetName], as all true followers of the Soulflayer are doing.;Following the emperor's example, you have started calling yourself hakkari, rather than [Root.Culture.GetName], as all true followers of the Soulflayer are doing.;;Following the emperor's example, you have started calling yourself hakkari, rather than [Root.Culture.GetName], as all true followers of the Soulflayer are doing.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEGURUB.4;The Gurubashi Civil War;The Gurubashi Civil War;The Gurubashi Civil War;;The Gurubashi Civil War;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.4;An envoy from far Zandalar has arrived in your court, bringing dire news. Though the priests of the Zandalari are happy that the Gurubashi have returned to their expansionism, they are worried about the rise of Hakkar's cult. The Loa of Blood, they say, will NEVER be satisfied and demand ever more blood until all life on the world is wiped out. They urge you to pick up arms against the Hakkari emperor and his Atal'ai cohorts. They promise you aid in this conflict and guarantee that the other rulers in the empire who have stayed true to the Loa will surely support you in this most holy war.;An envoy from far Zandalar has arrived in your court, bringing dire news. Though the priests of the Zandalari are happy that the Gurubashi have returned to their expansionism, they are worried about the rise of Hakkar's cult. The Loa of Blood, they say, will NEVER be satisfied and demand ever more blood until all life on the world is wiped out. They urge you to pick up arms against the Hakkari emperor and his Atal'ai cohorts. They promise you aid in this conflict and guarantee that the other rulers in the empire who have stayed true to the Loa will surely support you in this most holy war.;An envoy from far Zandalar has arrived in your court, bringing dire news. Though the priests of the Zandalari are happy that the Gurubashi have returned to their expansionism, they are worried about the rise of Hakkar's cult. The Loa of Blood, they say, will NEVER be satisfied and demand ever more blood until all life on the world is wiped out. They urge you to pick up arms against the Hakkari emperor and his Atal'ai cohorts. They promise you aid in this conflict and guarantee that the other rulers in the empire who have stayed true to the Loa will surely support you in this most holy war.;;An envoy from far Zandalar has arrived in your court, bringing dire news. Though the priests of the Zandalari are happy that the Gurubashi have returned to their expansionism, they are worried about the rise of Hakkar's cult. The Loa of Blood, they say, will NEVER be satisfied and demand ever more blood until all life on the world is wiped out. They urge you to pick up arms against the Hakkari emperor and his Atal'ai cohorts. They promise you aid in this conflict and guarantee that the other rulers in the empire who have stayed true to the Loa will surely support you in this most holy war.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.4.a;Yes, something must be done about this.;Yes, something must be done about this.;Yes, something must be done about this.;;Yes, something must be done about this.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.4.b;No, I cannot.;No, I cannot.;No, I cannot.;;No, I cannot.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.5;Word reaches you that [From.GetBestName] has risen against the Hakkari emperor, and is backed by the Zandalari themselves! [From.GetSheHe] calls upon you to aid [From.GetHerHim] in this conflict.;Word reaches you that [From.GetBestName] has risen against the Hakkari emperor, and is backed by the Zandalari themselves! [From.GetSheHe] calls upon you to aid [From.GetHerHim] in this conflict.;Word reaches you that [From.GetBestName] has risen against the Hakkari emperor, and is backed by the Zandalari themselves! [From.GetSheHe] calls upon you to aid [From.GetHerHim] in this conflict.;;Word reaches you that [From.GetBestName] has risen against the Hakkari emperor, and is backed by the Zandalari themselves! [From.GetSheHe] calls upon you to aid [From.GetHerHim] in this conflict.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.5.a;Death to the Hakkari!;Death to the Hakkari!;Death to the Hakkari!;;Death to the Hakkari!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.6;Goaded by the weak Zandalari, [From.GetBestName] has declared open rebellion on you! They claim that you've been 'corrupted' by Hakkar and must be destroyed. But you know better. Hakkar is strong, as are all who follow him. You will spill [From.GetBestName]'s blood for the Loa of Blood, and prove his power to the world!;"Goaded by the weak Zandalari, [From.GetBestName] has declared open rebellion on you! They claim that you've been ""corrupted"" by Hakkar and must be destroyed. But you know better. Hakkar is strong, as are all who follow him. You will spill [From.GetBestName]'s blood for the Loa of Blood, and prove his power to the world!";"Goaded by the weak Zandalari, [From.GetBestName] has declared open rebellion on you! They claim that you've been ""corrupted"" by Hakkar and must be destroyed. But you know better. Hakkar is strong, as are all who follow him. You will spill [From.GetBestName]'s blood for the Loa of Blood, and prove his power to the world!";;"Goaded by the weak Zandalari, [From.GetBestName] has declared open rebellion on you! They claim that you've been ""corrupted"" by Hakkar and must be destroyed. But you know better. Hakkar is strong, as are all who follow him. You will spill [From.GetBestName]'s blood for the Loa of Blood, and prove his power to the world!";;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.6;These rebels will pay!;These rebels will pay!;These rebels will pay!;;These rebels will pay!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.7;Goaded by the weak Zandalari, [From.GetBestName] has declared open rebellion on your liege! They claim that you've been 'corrupted' by Hakkar and must be destroyed. Naturally, the emperor has responded by declaring [From.GetHerHim] a traitor and vowed that [From.GetHerHis] blood will feed the Soulflayer.;"Goaded by the weak Zandalari, [From.GetBestName] has declared open rebellion on your liege! They claim that you've been ""corrupted"" by Hakkar and must be destroyed. Naturally, the emperor has responded by declaring [From.GetHerHim] a traitor and vowed that [From.GetHerHis] blood will feed the Soulflayer.";"Goaded by the weak Zandalari, [From.GetBestName] has declared open rebellion on your liege! They claim that you've been ""corrupted"" by Hakkar and must be destroyed. Naturally, the emperor has responded by declaring [From.GetHerHim] a traitor and vowed that [From.GetHerHis] blood will feed the Soulflayer.";;"Goaded by the weak Zandalari, [From.GetBestName] has declared open rebellion on your liege! They claim that you've been ""corrupted"" by Hakkar and must be destroyed. Naturally, the emperor has responded by declaring [From.GetHerHim] a traitor and vowed that [From.GetHerHis] blood will feed the Soulflayer.";;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.8;Deep in the jungles of Stranglethorn, civil war has broken out. [From.GetBestName] has, backed by the Zandalari, risen up and declared war against the emperor of Zul'Gurub, who has recently turned to the worship of Hakkar. Regardless of the outcome, this conflict may change the jungle trolls forever.;Deep in the jungles of Stranglethorn, civil war has broken out. [From.GetBestName] has, backed by the Zandalari, risen up and declared war against the emperor of Zul'Gurub, who has recently turned to the worship of Hakkar. Regardless of the outcome, this conflict may change the jungle trolls forever.;Deep in the jungles of Stranglethorn, civil war has broken out. [From.GetBestName] has, backed by the Zandalari, risen up and declared war against the emperor of Zul'Gurub, who has recently turned to the worship of Hakkar. Regardless of the outcome, this conflict may change the jungle trolls forever.;;Deep in the jungles of Stranglethorn, civil war has broken out. [From.GetBestName] has, backed by the Zandalari, risen up and declared war against the emperor of Zul'Gurub, who has recently turned to the worship of Hakkar. Regardless of the outcome, this conflict may change the jungle trolls forever.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.8;Troubling.;Troubling.;Troubling.;;Troubling.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEGURUB.9;Fall of the Hakkari;Fall of the Hakkari;Fall of the Hakkari;;Fall of the Hakkari;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.9;The foul Hakkari emperor has been cast down, and the threat of Hakkar being unleashed on the world appears to be no more. Though this victory also means the end of the Gurubashi empire, it was for the greater good of the world.;The foul Hakkari emperor has been cast down, and the threat of Hakkar being unleashed on the world appears to be no more. Though this victory also means the end of the Gurubashi empire, it was for the greater good of the world.;The foul Hakkari emperor has been cast down, and the threat of Hakkar being unleashed on the world appears to be no more. Though this victory also means the end of the Gurubashi empire, it was for the greater good of the world.;;The foul Hakkari emperor has been cast down, and the threat of Hakkar being unleashed on the world appears to be no more. Though this victory also means the end of the Gurubashi empire, it was for the greater good of the world.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.9;It had to be done.;It had to be done.;It had to be done.;;It had to be done.;;;;;;;;;x;;;;;;;;;;;;;;;;;
